ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92071,7,2017,C,Y,1592,9310211,5848
92071,7,2017,I,Y,0,0,0
92071,7,2017,R,Y,19906,15163476,762
92072,7,2017,A,Y,0,0,0
92072,7,2017,C,Y,0,0,0
92072,7,2017,I,Y,0,0,0
92072,7,2017,R,Y,0,0,0
92075,7,2017,A,Y,0,0,0
92075,7,2017,C,N,786,3672360,4672
92075,7,2017,I,Y,0,0,0
92075,7,2017,R,N,6246,2900078,464
92078,7,2017,A,Y,0,0,0
92078,7,2017,C,N,1546,10295625,6660
92078,7,2017,I,Y,0,0,0
92078,7,2017,R,N,16897,10197255,603
92079,7,2017,A,Y,0,0,0
92079,7,2017,C,Y,0,0,0
92079,7,2017,I,Y,0,0,0
92079,7,2017,R,Y,0,0,0
92081,7,2017,A,Y,0,0,0
92081,7,2017,C,N,1387,13783000,9937
92081,7,2017,I,Y,0,0,0
92081,7,2017,R,N,11896,5844687,491
92082,7,2017,A,Y,0,0,0
92082,7,2017,C,Y,0,0,0
92082,7,2017,I,Y,0,0,0
92082,7,2017,R,Y,6178,5736526,929
92083,7,2017,A,Y,0,0,0
92083,7,2017,C,N,1010,6637684,6572
92083,7,2017,I,Y,0,0,0
92083,7,2017,R,N,11693,5845226,500
92084,7,2017,A,Y,0,0,0
92084,7,2017,C,Y,1126,5074299,4506
92084,7,2017,I,Y,0,0,0
92084,7,2017,R,Y,15048,8753660,582
92085,7,2017,A,Y,0,0,0
92085,7,2017,C,Y,0,0,0
92085,7,2017,I,Y,0,0,0
92085,7,2017,R,Y,0,0,0
92086,7,2017,A,Y,0,0,0
92086,7,2017,C,Y,109,401415,3683
92086,7,2017,I,Y,0,0,0
92086,7,2017,R,Y,465,590207,1269
92091,7,2017,A,Y,0,0,0
92091,7,2017,C,Y,0,0,0
92091,7,2017,I,Y,0,0,0
92091,7,2017,R,N,786,811012,1032
92092,7,2017,A,Y,0,0,0
92092,7,2017,C,Y,0,0,0
92092,7,2017,I,Y,0,0,0
92092,7,2017,R,Y,0,0,0
92093,7,2017,A,Y,0,0,0
92093,7,2017,C,Y,0,0,0
92093,7,2017,I,Y,0,0,0
92093,7,2017,R,Y,0,0,0
92096,7,2017,A,Y,0,0,0
92096,7,2017,C,Y,0,0,0
92096,7,2017,I,Y,0,0,0
92096,7,2017,R,Y,0,0,0
92101,7,2017,A,Y,0,0,0
92101,7,2017,C,Y,2339,38551347,16482
92101,7,2017,I,Y,0,0,0
92101,7,2017,R,Y,23559,10502657,446
92102,7,2017,A,Y,0,0,0
92102,7,2017,C,N,777,5309337,6833
92102,7,2017,I,Y,0,0,0
92102,7,2017,R,N,14747,6149233,417
92103,7,2017,A,Y,0,0,0
92103,7,2017,C,N,1498,8678871,5794
92103,7,2017,I,Y,0,0,0
92103,7,2017,R,N,19248,6926674,360
92104,7,2017,A,Y,0,0,0
92104,7,2017,C,N,953,4990965,5237
92104,7,2017,I,Y,0,0,0
92104,7,2017,R,N,24169,7576168,313
92105,7,2017,A,Y,0,0,0
92105,7,2017,C,Y,0,0,0
92105,7,2017,I,Y,0,0,0
92105,7,2017,R,N,22159,26027247,1175
92106,7,2017,A,Y,0,0,0
92106,7,2017,C,Y,645,6323902,9804
92106,7,2017,I,Y,0,0,0
92106,7,2017,R,Y,7920,3869311,489
92107,7,2017,A,Y,0,0,0
92107,7,2017,C,Y,0,0,0
92107,7,2017,I,Y,0,0,0
92107,7,2017,R,N,14806,4865376,329
92108,7,2017,A,Y,0,0,0
92108,7,2017,C,N,1216,21838228,17959
92108,7,2017,I,Y,0,0,0
92108,7,2017,R,N,14708,6913489,470
92109,7,2017,A,Y,0,0,0
92109,7,2017,C,N,1619,9536100,5890
92109,7,2017,I,Y,0,0,0
92109,7,2017,R,N,26384,9033819,342
92110,7,2017,A,Y,0,0,0
92110,7,2017,C,N,1834,15267363,8325
92110,7,2017,I,Y,0,0,0
92110,7,2017,R,N,12701,4807070,378
92111,7,2017,A,Y,0,0,0
92111,7,2017,C,N,2233,16808815,7527
