ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92078,7,2021,I,Y,0,0,0
92078,7,2021,R,N,17374,8854040,510
92079,7,2021,A,Y,0,0,0
92079,7,2021,C,Y,0,0,0
92079,7,2021,I,Y,0,0,0
92079,7,2021,R,Y,0,0,0
92081,7,2021,A,Y,0,0,0
92081,7,2021,C,Y,1359,18005816,13249
92081,7,2021,I,Y,0,0,0
92081,7,2021,R,Y,11466,4818004,420
92082,7,2021,A,Y,0,0,0
92082,7,2021,C,Y,0,0,0
92082,7,2021,I,Y,0,0,0
92082,7,2021,R,Y,6300,5112416,811
92083,7,2021,A,Y,0,0,0
92083,7,2021,C,N,938,5746323,6126
92083,7,2021,I,Y,0,0,0
92083,7,2021,R,N,11654,5120980,439
92084,7,2021,A,Y,0,0,0
92084,7,2021,C,Y,1072,5127699,4783
92084,7,2021,I,Y,0,0,0
92084,7,2021,R,Y,15447,7137388,462
92085,7,2021,A,Y,0,0,0
92085,7,2021,C,Y,0,0,0
92085,7,2021,I,Y,0,0,0
92085,7,2021,R,Y,0,0,0
92086,7,2021,A,Y,0,0,0
92086,7,2021,C,Y,0,0,0
92086,7,2021,I,Y,0,0,0
92086,7,2021,R,Y,450,930027,2067
92091,7,2021,A,Y,0,0,0
92091,7,2021,C,Y,0,0,0
92091,7,2021,I,Y,0,0,0
92091,7,2021,R,N,981,923459,941
92092,7,2021,A,Y,0,0,0
92092,7,2021,C,Y,0,0,0
92092,7,2021,I,Y,0,0,0
92092,7,2021,R,Y,0,0,0
92093,7,2021,A,Y,0,0,0
92093,7,2021,C,Y,0,0,0
92093,7,2021,I,Y,0,0,0
92093,7,2021,R,Y,0,0,0
92096,7,2021,A,Y,0,0,0
92096,7,2021,C,Y,0,0,0
92096,7,2021,I,Y,0,0,0
92096,7,2021,R,Y,0,0,0
92101,7,2021,A,Y,0,0,0
92101,7,2021,C,Y,0,0,0
92101,7,2021,I,Y,0,0,0
92101,7,2021,R,Y,26748,11586365,433
92102,7,2021,A,Y,0,0,0
92102,7,2021,C,N,82,1391800,16973
92102,7,2021,I,Y,0,0,0
92102,7,2021,R,N,13954,5079509,364
92103,7,2021,A,Y,0,0,0
92103,7,2021,C,Y,0,0,0
92103,7,2021,I,Y,0,0,0
92103,7,2021,R,Y,18469,6223663,337
92104,7,2021,A,Y,0,0,0
92104,7,2021,C,Y,0,0,0
92104,7,2021,I,Y,0,0,0
92104,7,2021,R,N,23180,6910416,298
92105,7,2021,A,Y,0,0,0
92105,7,2021,C,Y,0,0,0
92105,7,2021,I,Y,0,0,0
92105,7,2021,R,N,21140,7700742,364
92106,7,2021,A,Y,0,0,0
92106,7,2021,C,Y,0,0,0
92106,7,2021,I,Y,0,0,0
92106,7,2021,R,Y,7634,3373417,442
92107,7,2021,A,Y,0,0,0
92107,7,2021,C,Y,0,0,0
92107,7,2021,I,Y,0,0,0
92107,7,2021,R,N,13847,4441396,321
92108,7,2021,A,Y,0,0,0
92108,7,2021,C,N,199,10282614,51671
92108,7,2021,I,Y,0,0,0
92108,7,2021,R,N,14564,6964161,478
92109,7,2021,A,Y,0,0,0
92109,7,2021,C,Y,0,0,0
92109,7,2021,I,Y,0,0,0
92109,7,2021,R,N,24570,8539627,348
92110,7,2021,A,Y,0,0,0
92110,7,2021,C,Y,0,0,0
92110,7,2021,I,Y,0,0,0
92110,7,2021,R,N,11983,5779986,482
92111,7,2021,A,Y,0,0,0
92111,7,2021,C,Y,0,0,0
92111,7,2021,I,Y,0,0,0
92111,7,2021,R,Y,16247,5723150,352
92112,7,2021,A,Y,0,0,0
92112,7,2021,C,Y,0,0,0
92112,7,2021,I,Y,0,0,0
92112,7,2021,R,Y,0,0,0
92113,7,2021,A,Y,0,0,0
92113,7,2021,C,Y,0,0,0
92113,7,2021,I,Y,0,0,0
92113,7,2021,R,N,12649,4579017,362
92114,7,2021,A,Y,0,0,0
92114,7,2021,C,Y,0,0,0
92114,7,2021,I,Y,0,0,0
92114,7,2021,R,N,17409,7280200,418
92115,7,2021,A,Y,0,0,0
92115,7,2021,C,Y,236,5854815,24809
92115,7,2021,I,Y,0,0,0
92115,7,2021,R,Y,21388,8131422,380
92116,7,2021,A,Y,0,0,0
92116,7,2021,C,Y,0,0,0
92116,7,2021,I,Y,0,0,0
92116,7,2021,R,N,17423,5265148,302
92117,7,2021,A,Y,0,0,0
92117,7,2021,C,Y,0,0,0
92117,7,2021,I,Y,0,0,0
92117,7,2021,R,N,20481,6965760,340
92118,7,2021,A,Y,0,0,0
92118,7,2021,C,Y,0,0,0
92118,7,2021,I,Y,0,0,0
92118,7,2021,R,Y,8029,5444553,678
92119,7,2021,A,Y,0,0,0
92119,7,2021,C,Y,0,0,0
92119,7,2021,I,Y,0,0,0
92119,7,2021,R,N,9861,4579370,464
92120,7,2021,A,Y,0,0,0
92120,7,2021,C,Y,0,0,0
92120,7,2021,I,Y,0,0,0
92120,7,2021,R,N,12689,6014655,474
92121,7,2021,A,Y,0,0,0
92121,7,2021,C,Y,0,0,0
92121,7,2021,I,Y,0,0,0
92121,7,2021,R,Y,1885,631420,335
